Time: 1638891477.726116. Hostname: gpu05. MPI rank: 1. Process ID: 152857. 
Time: 1638891756.257569. Hostname: gpu01. MPI rank: 0. Process ID: 55687. 
numElements=8300, AvgDtime=0.000084, Min=0.000058, Max=0.000093, Perc95=0.000071, Variance=-0.000019, StdDev=0.004343, ElementsSec=116821218.791946, GBytesSec=0.870386
numElements=8400, AvgDtime=0.000083, Min=0.000060, Max=0.000093, Perc95=0.000072, Variance=-0.000018, StdDev=0.004284, ElementsSec=116662760.264901, GBytesSec=0.869205
numElements=8500, AvgDtime=0.000079, Min=0.000059, Max=0.000085, Perc95=0.000070, Variance=-0.000014, StdDev=0.003720, ElementsSec=121677761.092150, GBytesSec=0.906570
numElements=8600, AvgDtime=0.000090, Min=0.000058, Max=0.000093, Perc95=0.000068, Variance=-0.000025, StdDev=0.005020, ElementsSec=126122427.972028, GBytesSec=0.939685
numElements=8700, AvgDtime=0.000087, Min=0.000059, Max=0.000089, Perc95=0.000069, Variance=-0.000023, StdDev=0.004768, ElementsSec=126264514.878893, GBytesSec=0.940744
numElements=8800, AvgDtime=0.000089, Min=0.000058, Max=0.000093, Perc95=0.000072, Variance=-0.000024, StdDev=0.004944, ElementsSec=122218129.801325, GBytesSec=0.910596
numElements=8900, AvgDtime=0.000084, Min=0.000057, Max=0.000087, Perc95=0.000069, Variance=-0.000021, StdDev=0.004536, ElementsSec=128721743.448276, GBytesSec=0.959052
numElements=9000, AvgDtime=0.000090, Min=0.000056, Max=0.000094, Perc95=0.000071, Variance=-0.000027, StdDev=0.005224, ElementsSec=127100121.212121, GBytesSec=0.946970
numElements=9100, AvgDtime=0.000077, Min=0.000055, Max=0.000082, Perc95=0.000065, Variance=-0.000017, StdDev=0.004072, ElementsSec=139810133.333333, GBytesSec=1.041667
numElements=9200, AvgDtime=0.000073, Min=0.000055, Max=0.000077, Perc95=0.000064, Variance=-0.000013, StdDev=0.003601, ElementsSec=143448315.241636, GBytesSec=1.068773
numElements=9300, AvgDtime=0.000081, Min=0.000054, Max=0.000084, Perc95=0.000068, Variance=-0.000021, StdDev=0.004588, ElementsSec=136866762.105263, GBytesSec=1.019737
numElements=9400, AvgDtime=0.000078, Min=0.000055, Max=0.000080, Perc95=0.000064, Variance=-0.000018, StdDev=0.004246, ElementsSec=147113647.761194, GBytesSec=1.096082
numElements=9500, AvgDtime=0.000072, Min=0.000055, Max=0.000081, Perc95=0.000063, Variance=-0.000012, StdDev=0.003458, ElementsSec=150931393.939394, GBytesSec=1.124527
numElements=9600, AvgDtime=0.000069, Min=0.000055, Max=0.000079, Perc95=0.000065, Variance=-0.000009, StdDev=0.003031, ElementsSec=148034258.823529, GBytesSec=1.102941
numElements=9700, AvgDtime=0.000079, Min=0.000054, Max=0.000084, Perc95=0.000065, Variance=-0.000018, StdDev=0.004191, ElementsSec=149028383.882784, GBytesSec=1.110348
numElements=9800, AvgDtime=0.000076, Min=0.000057, Max=0.000083, Perc95=0.000065, Variance=-0.000015, StdDev=0.003839, ElementsSec=151118305.882353, GBytesSec=1.125919
numElements=9900, AvgDtime=0.000080, Min=0.000057, Max=0.000087, Perc95=0.000067, Variance=-0.000017, StdDev=0.004172, ElementsSec=147770852.669039, GBytesSec=1.100979
numElements=10000, AvgDtime=0.000070, Min=0.000057, Max=0.000077, Perc95=0.000063, Variance=-0.000009, StdDev=0.003047, ElementsSec=158875151.515152, GBytesSec=1.183712
